Data,Total Processado,Rejeitados,Taxa Rejeicao (%),Latencia Media (s),Falsos Positivos,Falsos Negativos,Observacoes
2026-08-29,,,,,,,
2026-08-30,,,,,,,
2026-08-31,,,,,,,
2026-09-01,,,,,,,
2026-09-02,,,,,,,
2026-09-03,,,,,,,
2026-09-04,,,,,,,
SEMANA 1 RESUMO,,=AVERAGE(D2:D8),=AVERAGE(E2:E8),=SUM(F2:F8),=SUM(G2:G8),
2026-09-05,,,,,,,
2026-09-06,,,,,,,
2026-09-07,,,,,,,
2026-09-08,,,,,,,
2026-09-09,,,,,,,
2026-09-10,,,,,,,
2026-09-11,,,,,,,
SEMANA 2 RESUMO,,=AVERAGE(D10:D16),=AVERAGE(E10:E16),=SUM(F10:F16),=SUM(G10:G16),
TOTAL 14 DIAS,,=AVERAGE(D2:D16),=AVERAGE(E2:E16),=SUM(F2:F16),=SUM(G2:G16),
